ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,holidays,holidays_lower,holidays_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2020-02-12T00:00:00Z,1280.7728222976605,3550.626255505548,3550.626255505548,3550.626255505548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.626255505548,3550.626255505548,3550.626255505548,0,0,0,-10174.094290691412,20517.99389454579,1280.7728222976605,1280.7728222976605,4831.3990778032085
2020-02-13T00:00:00Z,1627.3918534192987,7696.001354120146,7696.001354120146,7696.001354120146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7696.001354120146,7696.001354120146,7696.001354120146,0,0,0,-4563.615475971953,23766.510456204418,1627.3918534192987,1627.3918534192987,9323.393207539444
2020-02-14T00:00:00Z,1974.010884540938,8056.991472767156,8056.991472767156,8056.991472767156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8056.991472767156,8056.991472767156,8056.991472767156,0,0,0,-4356.214986766592,25682.534264620703,1974.010884540938,1974.010884540938,10031.002357308094
2020-02-15T00:00:00Z,2320.6299156625782,2552.073411548582,2552.073411548582,2552.073411548582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552.073411548582,2552.073411548582,2552.073411548582,0,0,0,-9268.29780781178,19610.968755263882,2320.6299156625782,2320.6299156625782,4872.70332721116
2020-02-16T00:00:00Z,2667.248951089955,-8144.074569302783,-8144.074569302783,-8144.074569302783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8144.074569302783,-8144.074569302783,-8144.074569302783,0,0,0,-20708.933230568826,10390.969762259483,2667.248951089955,2667.248951089955,-5476.825618212828
2020-02-17T00:00:00Z,3013.867986517332,-1177.0459246532273,-1177.0459246532273,-1177.0459246532273,0,0,0,0,0,0,10447.055509645827,10447.055509645827,10447.055509645827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10447.055509645827,10447.055509645827,10447.055509645827,-11624.101434299053,-11624.101434299053,-11624.101434299053,0,0,0,-13057.832665850343,16304.114403735088,3013.867986517332,3013.867986517332,1836.8220618641049
2020-02-18T00:00:00Z,3360.487021944709,-2087.516490378503,-2087.516490378503,-2087.516490378503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2087.516490378503,-2087.516490378503,-2087.516490378503,0,0,0,-14582.898668844959,15853.910317718019,3360.487021944709,3360.487021944709,1272.9705315662059
2020-02-19T00:00:00Z,3707.1060573720856,3550.626255510534,3550.626255510534,3550.626255510534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.626255510534,3550.626255510534,3550.626255510534,0,0,0,-7405.849492754397,21413.835450793635,3707.1060573720856,3707.1060573720856,7257.732312882619
2020-02-20T00:00:00Z,4053.7250927994646,7696.001354121009,7696.001354121009,7696.001354121009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7696.001354121009,7696.001354121009,7696.001354121009,0,0,0,-2813.834965684667,26519.966373200605,4053.7250927994646,4053.7250927994646,11749.726446920475
2020-02-21T00:00:00Z,4400.34412822684,8056.991472767429,8056.991472767429,8056.991472767429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8056.991472767429,8056.991472767429,8056.991472767429,0,0,0,-1955.0415528330539,27052.460436822985,4400.34412822684,4400.34412822684,12457.335600994269
